woche;marke;thema;engine;engine_typ;visibility;share_of_voice;mention_count;sentiment;position;visibility_count;visibility_total;sentiment_sum;sentiment_count;position_sum;position_count;brand_id;topic_id;model_channel_id
2026-04-13;DKV;;AI Mode;grounded;0.0256;0.0089;48;58;4.3;46;1800;5.990753173828125;36;153;36;kw_fc06628b-b4a3-4ca9-92c1-2ad1f28241de;;google-1
2026-04-13;DKV;;AI Overview;grounded;0.027;0.0153;65;57;4.5;44;1631;7.225921630859375;53;194;43;kw_fc06628b-b4a3-4ca9-92c1-2ad1f28241de;;google-0
2026-04-13;DKV;;ChatGPT;ui_mixed;0.0344;0.0192;81;57;4.4;62;1800;12.121452331542969;82;235;54;kw_fc06628b-b4a3-4ca9-92c1-2ad1f28241de;;openai-0
2026-04-13;DKV;;Gemini;grounded;0.0233;0.0126;50;58;3.3;42;1800;6.503448486328125;41;109;33;kw_fc06628b-b4a3-4ca9-92c1-2ad1f28241de;;google-2
2026-04-13;DKV;;Perplexity;grounded;0.0116;0.0115;28;55;5.3;19;1635;1.94085693359375;19;85;16;kw_fc06628b-b4a3-4ca9-92c1-2ad1f28241de;;perplexity-0
2026-04-13;Debeka;;AI Mode;grounded;0.065;0.0284;154;57;3.5;117;1800;18.0438232421875;133;360;104;kw_f2523300-5701-448f-bdc2-826cacdc7496;;google-1
2026-04-13;Debeka;;AI Overview;grounded;0.0582;0.0296;126;58;3.6;95;1631;17.40570831298828;105;331;92;kw_f2523300-5701-448f-bdc2-826cacdc7496;;google-0
2026-04-13;Debeka;;ChatGPT;ui_mixed;0.0761;0.0406;171;59;2.9;137;1800;35.02867126464844;195;383;130;kw_f2523300-5701-448f-bdc2-826cacdc7496;;openai-0
2026-04-13;Debeka;;Gemini;grounded;0.0461;0.0259;103;58;3.8;83;1800;16.125709533691406;96;300;78;kw_f2523300-5701-448f-bdc2-826cacdc7496;;google-2
2026-04-13;Debeka;;Perplexity;grounded;0.0245;0.0247;60;54;3.6;40;1635;4.0982666015625;50;137;38;kw_f2523300-5701-448f-bdc2-826cacdc7496;;perplexity-0
2026-04-13;Die Bayerische;;AI Mode;grounded;0.0056;0.0018;10;52;4;10;1800;0.1328582763671875;3;12;3;kw_dc1b2c92-73f3-4f73-bf93-df7df59dc86d;;google-1
2026-04-13;Die Bayerische;;AI Overview;grounded;0.0031;0.0012;5;72;3;5;1631;1.2991180419921875;3;9;3;kw_dc1b2c92-73f3-4f73-bf93-df7df59dc86d;;google-0
2026-04-13;Die Bayerische;;ChatGPT;ui_mixed;0.0039;0.0019;8;58;4;7;1800;1.84649658203125;11;28;7;kw_dc1b2c92-73f3-4f73-bf93-df7df59dc86d;;openai-0
2026-04-13;Die Bayerische;;Gemini;grounded;0.0206;0.0093;37;61;5.3;37;1800;7.589179992675781;36;181;34;kw_dc1b2c92-73f3-4f73-bf93-df7df59dc86d;;google-2
2026-04-13;Die Bayerische;;Perplexity;grounded;0.0055;0.0045;11;54;6;9;1635;0.08756256103515625;1;6;1;kw_dc1b2c92-73f3-4f73-bf93-df7df59dc86d;;perplexity-0
2026-04-13;ERGO;;AI Mode;grounded;0.1122;0.0566;307;54;3.1;202;1800;21.235565185546875;248;579;189;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;;google-1
2026-04-13;ERGO;;AI Overview;grounded;0.0932;0.0495;211;56;3.5;152;1631;22.63459014892578;198;505;146;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;;google-0
2026-04-13;ERGO;;ChatGPT;ui_mixed;0.085;0.0501;211;54;3.4;153;1800;18.52979278564453;247;511;152;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;;openai-0
2026-04-13;ERGO;;Gemini;grounded;0.0744;0.0382;152;53;3.4;134;1800;10.514938354492188;165;435;129;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;;google-2
2026-04-13;ERGO;;Perplexity;grounded;0.0587;0.0642;156;53;2.9;96;1635;9.736526489257812;149;274;93;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;;perplexity-0
2026-04-13;Generali;;AI Mode;grounded;0.025;0.0092;50;55;3.4;45;1800;3.9219589233398438;38;112;33;kw_1028a85d-5c54-5e02-8a97-afb32a52113d;;google-1
2026-04-13;Generali;;AI Overview;grounded;0.0288;0.0138;59;58;3.9;47;1631;9.340652465820312;62;176;45;kw_1028a85d-5c54-5e02-8a97-afb32a52113d;;google-0
2026-04-13;Generali;;ChatGPT;ui_mixed;0.02;0.0114;48;53;4.1;36;1800;2.4618072509765625;42;141;34;kw_1028a85d-5c54-5e02-8a97-afb32a52113d;;openai-0
2026-04-13;Generali;;Gemini;grounded;0.0067;0.0033;13;55;4.7;12;1800;1.0347442626953125;10;52;11;kw_1028a85d-5c54-5e02-8a97-afb32a52113d;;google-2
2026-04-13;Generali;;Perplexity;grounded;0.0128;0.0148;36;57;3.4;21;1635;2.95037841796875;21;62;18;kw_1028a85d-5c54-5e02-8a97-afb32a52113d;;perplexity-0
2026-04-13;Gothaer;;AI Mode;grounded;0.0372;0.0138;75;57;4.6;67;1800;8.2425537109375;57;229;50;kw_37880128-3d28-46fe-9f61-d6c869e2d032;;google-1
2026-04-13;Gothaer;;AI Overview;grounded;0.0441;0.0228;97;61;4.8;72;1631;16.13994598388672;72;316;66;kw_37880128-3d28-46fe-9f61-d6c869e2d032;;google-0
2026-04-13;Gothaer;;ChatGPT;ui_mixed;0.045;0.0235;99;58;4.7;81;1800;18.085372924804688;113;359;76;kw_37880128-3d28-46fe-9f61-d6c869e2d032;;openai-0
2026-04-13;Gothaer;;Gemini;grounded;0.0511;0.0244;97;63;4.4;92;1800;22.124649047851562;88;353;81;kw_37880128-3d28-46fe-9f61-d6c869e2d032;;google-2
2026-04-13;Gothaer;;Perplexity;grounded;0.0196;0.016;39;59;5.3;32;1635;5.503822326660156;30;143;27;kw_37880128-3d28-46fe-9f61-d6c869e2d032;;perplexity-0
2026-04-13;HDI;;AI Mode;grounded;0.015;0.0057;31;52;4.3;27;1800;1.3607559204101562;34;100;23;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;;google-1
2026-04-13;HDI;;AI Overview;grounded;0.0264;0.0134;57;57;4.3;43;1631;5.860023498535156;45;175;41;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;;google-0
2026-04-13;HDI;;ChatGPT;ui_mixed;0.0456;0.0259;109;54;3.9;82;1800;11.109718322753906;125;295;76;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;;openai-0
2026-04-13;HDI;;Gemini;grounded;0.0317;0.0156;62;58;3.8;57;1800;8.699119567871094;52;172;45;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;;google-2
2026-04-13;HDI;;Perplexity;grounded;0.03;0.0259;63;53;3.8;49;1635;3.2405166625976562;47;150;39;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;;perplexity-0
2026-04-13;HUK-Coburg;;AI Mode;grounded;0.23;0.126;683;54;3;414;1800;46.86695861816406;552;1285;425;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;;google-1
2026-04-13;HUK-Coburg;;AI Overview;grounded;0.1729;0.1061;452;58;3.6;282;1631;56.23743438720703;367;1073;298;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;;google-0
2026-04-13;HUK-Coburg;;ChatGPT;ui_mixed;0.185;0.1144;482;58;2.8;333;1800;66.86426544189453;394;821;290;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;;openai-0
2026-04-13;HUK-Coburg;;Gemini;grounded;0.1817;0.1461;581;56;3.5;327;1800;57.27674865722656;445;1313;372;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;;google-2
2026-04-13;HUK-Coburg;;Perplexity;grounded;0.0911;0.114;277;54;3.6;149;1635;14.641593933105469;167;451;126;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;;perplexity-0
2026-04-13;Haftpflichtkasse;;AI Mode;grounded;0.0406;0.0144;78;61;2.7;73;1800;11.864547729492188;53;137;50;kw_ee997b6b-0b50-4c31-a8d2-117f911f9a1d;;google-1
2026-04-13;Haftpflichtkasse;;AI Overview;grounded;0.0423;0.023;98;61;3.4;69;1631;15.993637084960938;74;223;65;kw_ee997b6b-0b50-4c31-a8d2-117f911f9a1d;;google-0
2026-04-13;Haftpflichtkasse;;ChatGPT;ui_mixed;0.0161;0.0104;44;62;5.5;29;1800;5.246559143066406;22;105;19;kw_ee997b6b-0b50-4c31-a8d2-117f911f9a1d;;openai-0
2026-04-13;Haftpflichtkasse;;Gemini;grounded;0.0678;0.0382;152;59;3.1;122;1800;21.73382568359375;124;322;105;kw_ee997b6b-0b50-4c31-a8d2-117f911f9a1d;;google-2
2026-04-13;Haftpflichtkasse;;Perplexity;grounded;0.0135;0.0144;35;60;4.2;22;1635;3.732696533203125;18;63;15;kw_ee997b6b-0b50-4c31-a8d2-117f911f9a1d;;perplexity-0
2026-04-13;Hannoversche;;AI Mode;grounded;0.0056;0.0018;10;52;3.9;10;1800;0.4178314208984375;9;31;8;kw_405d8864-19c4-42fe-bba2-632e0b5cb463;;google-1
2026-04-13;Hannoversche;;AI Overview;grounded;0.0031;0.0014;6;55;5.6;5;1631;0.516937255859375;5;28;5;kw_405d8864-19c4-42fe-bba2-632e0b5cb463;;google-0
2026-04-13;Hannoversche;;ChatGPT;ui_mixed;0.0033;0.0017;7;59;6.3;6;1800;1.6151123046875;9;38;6;kw_405d8864-19c4-42fe-bba2-632e0b5cb463;;openai-0
2026-04-13;Hannoversche;;Gemini;grounded;0.0061;0.0028;11;55;5.6;11;1800;0.9270782470703125;9;50;9;kw_405d8864-19c4-42fe-bba2-632e0b5cb463;;google-2
2026-04-13;Hannoversche;;Perplexity;grounded;0.0024;0.0016;4;54;4;4;1635;0.224853515625;3;12;3;kw_405d8864-19c4-42fe-bba2-632e0b5cb463;;perplexity-0
2026-04-13;HanseMerkur;;AI Mode;grounded;0.1628;0.0849;460;56;2.3;293;1800;50.633705139160156;436;663;286;kw_b1155354-e344-4376-96a5-8ca40a83f686;;google-1
2026-04-13;HanseMerkur;;AI Overview;grounded;0.13;0.0854;364;59;2.4;212;1631;54.216514587402344;317;510;210;kw_b1155354-e344-4376-96a5-8ca40a83f686;;google-0
2026-04-13;HanseMerkur;;ChatGPT;ui_mixed;0.0917;0.0539;227;55;3.1;165;1800;26.98431396484375;275;501;161;kw_b1155354-e344-4376-96a5-8ca40a83f686;;openai-0
2026-04-13;HanseMerkur;;Gemini;grounded;0.1094;0.082;326;59;2.5;197;1800;50.46827697753906;294;486;193;kw_b1155354-e344-4376-96a5-8ca40a83f686;;google-2
2026-04-13;HanseMerkur;;Perplexity;grounded;0.0612;0.0811;197;55;2.3;100;1635;20.40099334716797;196;232;99;kw_b1155354-e344-4376-96a5-8ca40a83f686;;perplexity-0
2026-04-13;LV 1871;;AI Mode;grounded;0.0333;0.0133;72;56;3.5;60;1800;5.4634246826171875;43;131;37;kw_86ce8865-81a6-4155-aa6e-7907ead2806a;;google-1
