datum;marke;tag;gruppe;share_of_voice;visibility;mention_count;sentiment;position;brand_id;tag_id
2026-07-17;Generali;Customer Excellence;;0.0036;0.0385;1;64;4;kw_1028a85d-5c54-5e02-8a97-afb32a52113d;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;Gothaer;Customer Excellence;;0;0;0;;;kw_37880128-3d28-46fe-9f61-d6c869e2d032;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;HDI;Customer Excellence;;0;0;0;;;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;HUK-Coburg;Customer Excellence;;0.2437;0.8846;68;53;3.1;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;Haftpflichtkasse;Customer Excellence;;0.0323;0.1923;9;69;6.5;kw_ee997b6b-0b50-4c31-a8d2-117f911f9a1d;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;Hannoversche;Customer Excellence;;0;0;0;;;kw_405d8864-19c4-42fe-bba2-632e0b5cb463;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;HanseMerkur;Customer Excellence;;0.0072;0.0385;2;75;2;kw_b1155354-e344-4376-96a5-8ca40a83f686;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;LV 1871;Customer Excellence;;0.0036;0.0385;1;39;11;kw_86ce8865-81a6-4155-aa6e-7907ead2806a;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;LVM;Customer Excellence;;0.1326;0.6538;37;56;3.6;kw_cdfd3b5b-0c22-485c-bbc4-00fde89a1c45;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;R+V;Customer Excellence;;0.0358;0.2308;10;62;4.6;kw_cba70138-7408-42d6-9ae4-e090d6179e7f;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;Signal Iduna;Customer Excellence;;0;0;0;;;kw_80da741d-9a64-4086-95c0-eb9701df02f8;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;VHV;Customer Excellence;;0.0215;0.1154;6;53;3.7;kw_b3e38115-670e-4795-96a2-dbf2f0b47733;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;WGV;Customer Excellence;;0.0179;0.1154;5;76;6;kw_2f265088-42d6-4e5a-be60-e1fb53cf72ed;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;Württembergische;Customer Excellence;;0.0072;0.0769;2;76;7;kw_8cd0213a-ff09-49f8-9e14-2e088c094043;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;Zurich;Customer Excellence;;0.0036;0.0385;1;58;2;kw_f7e49be6-0f28-4d62-8e8e-044c5f806309;tg_13d6c670-21d8-4c39-83e5-497106565f73
2026-07-17;ADAC;Decision;;0.03;0.0827;50;55;4;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;ARAG;Decision;;0.0384;0.1079;64;54;3.1;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;AXA;Decision;;0.048;0.1619;80;53;3.9;kw_3f6dd0b5-07f6-4f8e-bd1c-226bf4c95a30;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;Allianz;Decision;;0.1939;0.5576;323;53;2.5;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;Alte Leipziger;Decision;;0.0192;0.0755;32;53;4.1;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;Barmenia;Decision;;0.0258;0.0935;43;58;4.7;kw_0e2665be-83a3-4949-82da-c819c80811eb;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;CosmosDirekt;Decision;;0.0756;0.2806;126;55;3.6;kw_416a8247-b080-4eab-b6c8-321a4b64165d;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;DA Direkt;Decision;;0.0324;0.1151;54;52;4.1;kw_2a762f00-af78-4bb7-b874-5daf8ed428dc;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;DEVK;Decision;;0.012;0.054;20;52;4.6;kw_296cebc1-794b-456d-8ce4-ca398a7b8b6e;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;DKV;Decision;;0.0126;0.0432;21;51;4.5;kw_fc06628b-b4a3-4ca9-92c1-2ad1f28241de;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;Debeka;Decision;;0.0048;0.0144;8;53;3.8;kw_f2523300-5701-448f-bdc2-826cacdc7496;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;Die Bayerische;Decision;;0.0126;0.0504;21;52;4.2;kw_dc1b2c92-73f3-4f73-bf93-df7df59dc86d;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;ERGO;Decision;;0.0522;0.1835;87;51;4;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;Generali;Decision;;0.0036;0.0216;6;46;5.2;kw_1028a85d-5c54-5e02-8a97-afb32a52113d;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;Gothaer;Decision;;0.0126;0.0683;21;56;5.9;kw_37880128-3d28-46fe-9f61-d6c869e2d032;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;HDI;Decision;;0.0156;0.0576;26;52;4.1;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;HUK-Coburg;Decision;;0.1777;0.4424;296;55;3.5;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;Haftpflichtkasse;Decision;;0.0192;0.0791;32;54;4.6;kw_ee997b6b-0b50-4c31-a8d2-117f911f9a1d;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;Hannoversche;Decision;;0.0288;0.1223;48;52;3.3;kw_405d8864-19c4-42fe-bba2-632e0b5cb463;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;HanseMerkur;Decision;;0.0402;0.1295;67;53;3.5;kw_b1155354-e344-4376-96a5-8ca40a83f686;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;LV 1871;Decision;;0.0234;0.0863;39;53;5.2;kw_86ce8865-81a6-4155-aa6e-7907ead2806a;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;LVM;Decision;;0.0024;0.0072;4;58;9.5;kw_cdfd3b5b-0c22-485c-bbc4-00fde89a1c45;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;R+V;Decision;;0.0204;0.0719;34;56;4.4;kw_cba70138-7408-42d6-9ae4-e090d6179e7f;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
2026-07-17;Signal Iduna;Decision;;0.0072;0.0324;12;49;6.9;kw_80da741d-9a64-4086-95c0-eb9701df02f8;tg_e881306d-4394-4c3a-bdc8-4a1add7623af
