zeitraum;marke;thema;engine;engine_typ;visibility;share_of_voice;mention_count;sentiment;position;visibility_count;visibility_total;sentiment_sum;sentiment_count;position_sum;position_count;brand_id;topic_id;model_channel_id
2026-06-20_2026-07-19;Württembergische;Krankenhauszusatz;Gemini;grounded;0.0333;0.0091;31;56;8.2;30;900;3.5669021606445312;30;247;30;kw_8cd0213a-ff09-49f8-9e14-2e088c094043;to_35c4f140-3751-464e-898f-4a180d9dede7;google-2
2026-06-20_2026-07-19;VHV;Rechtsschutz;AI Mode;grounded;0.0333;0.0107;75;47;3.4;30;900;-3.103057861328125;46;99;29;kw_b3e38115-670e-4795-96a2-dbf2f0b47733;to_7c373751-e069-4d80-a80f-2b38f3200230;google-1
2026-06-20_2026-07-19;R+V;Rechtsschutz;ChatGPT;ui_mixed;0.0333;0.0081;39;57;5.3;30;900;5.055015563964844;35;158;30;kw_cba70138-7408-42d6-9ae4-e090d6179e7f;to_7c373751-e069-4d80-a80f-2b38f3200230;openai-0
2026-06-20_2026-07-19;Barmenia;Kfz;AI Mode;grounded;0.0322;0.0045;43;52;6.9;29;900;1.774871826171875;43;200;29;kw_0e2665be-83a3-4949-82da-c819c80811eb;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-06-20_2026-07-19;ARAG;Risikoleben;AI Mode;grounded;0.0322;0.0075;46;58;4.9;29;900;6.0302734375;37;142;29;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-1
2026-06-20_2026-07-19;Gothaer;Risikoleben;Gemini;grounded;0.0322;0.0092;32;49;5.2;29;900;-0.3646087646484375;31;150;29;kw_37880128-3d28-46fe-9f61-d6c869e2d032;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-2
2026-06-20_2026-07-19;ERGO;Haftpflicht;AI Overview;grounded;0.036;0.0104;33;55;4.8;29;805;3.2450485229492188;32;138;29;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-0
2026-06-20_2026-07-19;HanseMerkur;Haftpflicht;Gemini;grounded;0.0322;0.0081;31;51;8;29;900;0.7663726806640625;31;231;29;kw_b1155354-e344-4376-96a5-8ca40a83f686;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-2
2026-06-20_2026-07-19;HDI;Wohngebäude;AI Overview;grounded;0.0349;0.0166;43;50;3;29;832;-0.18845367431640625;36;88;29;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;google-0
2026-06-20_2026-07-19;Debeka;Berufsunfähigkeit;AI Mode;grounded;0.0322;0.0125;67;42;3.7;29;900;-9.22088623046875;57;108;29;kw_f2523300-5701-448f-bdc2-826cacdc7496;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-1
2026-06-20_2026-07-19;Zurich;Kfz;AI Mode;grounded;0.0322;0.0093;89;47;4.7;29;900;-3.7086029052734375;56;149;32;kw_f7e49be6-0f28-4d62-8e8e-044c5f806309;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-06-20_2026-07-19;ARAG;Zahnzusatz;AI Overview;grounded;0.0373;0.0108;29;52;6;28;750;1.19610595703125;29;167;28;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_603de878-38c2-43b4-b0d5-6db538278bcc;google-0
2026-06-20_2026-07-19;DA Direkt;Unfall;ChatGPT;ui_mixed;0.0311;0.0101;47;52;3.5;28;900;2.2228546142578125;47;98;28;kw_2a762f00-af78-4bb7-b874-5daf8ed428dc;to_36268653-52e5-4a61-80ff-efa9980c3019;openai-0
2026-06-20_2026-07-19;WGV;Hausrat;AI Overview;grounded;0.0344;0.0112;32;63;5;28;815;7.7847747802734375;31;139;28;kw_2f265088-42d6-4e5a-be60-e1fb53cf72ed;to_32407d98-398d-4651-8a4e-016e1399d6e7;google-0
2026-06-20_2026-07-19;Gothaer;Berufsunfähigkeit;AI Overview;grounded;0.0329;0.0094;29;56;6.1;28;851;3.2205047607421875;29;172;28;kw_37880128-3d28-46fe-9f61-d6c869e2d032;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-0
2026-06-20_2026-07-19;CosmosDirekt;Rechtsschutz;Gemini;grounded;0.0311;0.0074;33;53;3.6;28;900;1.6091461181640625;30;101;28;kw_416a8247-b080-4eab-b6c8-321a4b64165d;to_7c373751-e069-4d80-a80f-2b38f3200230;google-2
2026-06-20_2026-07-19;HUK24;Unfall;AI Mode;grounded;0.0311;0.0049;35;53;3.6;28;900;1.8251495361328125;32;100;28;kw_7e2e6111-4157-448c-9353-8c478a0c8711;to_36268653-52e5-4a61-80ff-efa9980c3019;google-1
2026-06-20_2026-07-19;Württembergische;Corporate;Gemini;grounded;0.0259;0.0031;35;53;5.4;28;1080;1.756072998046875;28;147;27;kw_8cd0213a-ff09-49f8-9e14-2e088c094043;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-2
